Player,Team,Position,Games,Minutes,Points,Assists,Rebounds,Steals,Blocks,FG%,3P%,FT%
Luka Dončić,LAL,PG,64,35.77,33.48,8.28,7.73,1.64,0.53,0.476,0.366,0.78
Shai Gilgeous-Alexander,OKC,PG,68,33.22,31.13,6.59,4.29,1.4,0.76,0.553,0.386,0.879
Jaylen Brown,BOS,SF,71,34.41,28.7,5.13,6.93,1.01,0.38,0.477,0.347,0.795
Kevin Durant,HOU,SF,78,36.41,25.97,4.77,5.46,0.79,0.91,0.52,0.413,0.874
Tyrese Maxey,PHI,PG,70,38.01,28.29,6.59,4.14,1.86,0.79,0.462,0.367,0.892
Donovan Mitchell,CLE,SG,70,33.46,27.89,5.69,4.51,1.49,0.29,0.483,0.364,0.865
Jalen Brunson,NYK,PG,74,35.0,26.04,6.8,3.34,0.77,0.11,0.467,0.369,0.841
Jamal Murray,DEN,PG,75,35.36,25.4,7.13,4.4,0.88,0.39,0.483,0.435,0.887
Kawhi Leonard,LAC,SF,65,32.08,27.89,3.6,6.35,1.88,0.42,0.505,0.387,0.892
Nikola Jokić,DEN,C,65,34.85,27.67,10.72,12.86,1.42,0.82,0.569,0.38,0.831
Anthony Edwards,MIN,SG,61,35.03,28.8,3.7,4.95,1.36,0.8,0.489,0.399,0.796
Devin Booker,PHO,SG,64,33.53,26.06,6.03,3.88,0.8,0.28,0.456,0.33,0.873
Julius Randle,MIN,PF,79,33.04,21.1,5.04,6.73,1.09,0.23,0.481,0.315,0.802
Brandon Ingram,TOR,SF,77,33.81,21.49,3.69,5.58,0.75,0.71,0.477,0.382,0.82
James Harden,LAC,PG,44,35.43,25.41,8.14,4.82,1.3,0.36,0.419,0.347,0.901
Desmond Bane,ORL,SG,82,33.61,20.09,4.12,4.12,1.05,0.45,0.484,0.391,0.908
Nickeil Alexander-Walker,ATL,SG,78,33.37,20.82,3.67,3.44,1.31,0.54,0.459,0.399,0.902
Jalen Johnson,ATL,SF,72,35.17,22.51,7.86,10.28,1.24,0.43,0.489,0.352,0.788
Victor Wembanyama,SAS,C,64,29.16,25.0,3.11,11.5,1.03,3.08,0.512,0.349,0.827
Paolo Banchero,ORL,PF,72,34.75,22.21,5.18,8.39,0.71,0.56,0.459,0.305,0.775
